Player_pas,Cmp_pas,yds_scrim,yds_2_scrim,First Name_yah,Last Name_yah,Position_yah,Long_Name.x,combined,full_name_yah,matched
Marcus Mariota,14.2,NA,33.7,NA,NA,NA,NA,14.2,"NA NA",no
P J Walker,10.5,NA,6.5,NA,NA,NA,NA,10.5,"NA NA",no
Gardner Minshew II,8.8,NA,NA,NA,NA,NA,NA,8.8,"NA NA",no
Trevor Siemian,7.5,NA,NA,NA,NA,NA,NA,7.5,"NA NA",no
Chris Streveler,5,NA,27,NA,NA,NA,NA,5,"NA NA",no
Jacob Eason,3,NA,NA,NA,NA,NA,NA,3,"NA NA",no
Riley Dixon,0.13,NA,NA,NA,NA,NA,NA,0.13,"NA NA",no
Braden Mann,0.06,NA,NA,NA,NA,NA,NA,0.06,"NA NA",no
Ryan Wright,0.06,NA,NA,NA,NA,NA,NA,0.06,"NA NA",no
Jack Fox,0.06,NA,NA,NA,NA,NA,NA,0.06,"NA NA",no
Andy Lee,0.06,NA,NA,NA,NA,NA,NA,0.06,"NA NA",no
Phillip Dorsett II,0,17.1,NA,NA,NA,NA,NA,0,"NA NA",no
James Proche,0,4.43,NA,NA,NA,NA,NA,0,"NA NA",no
Tommy Townsend,0,NA,NA,NA,NA,NA,NA,0,"NA NA",no
Dameon Pierce,NA,12.7,72.2,NA,NA,NA,NA,12.7,"NA NA",no
Brian Robinson Jr,NA,5,66.4,NA,NA,NA,NA,5,"NA NA",no
Richie James Jr,NA,35.6,0.38,NA,NA,NA,NA,35.6,"NA NA",no
Melvin Gordon III,NA,22.3,31.8,NA,NA,NA,NA,22.3,"NA NA",no
DJ Chark Jr,NA,48.8,NA,NA,NA,NA,NA,48.8,"NA NA",no
Greg Dulcich,NA,41.1,NA,NA,NA,NA,NA,41.1,"NA NA",no
Chig Okonkwo,NA,25.5,0.13,NA,NA,NA,NA,25.5,"NA NA",no
Zach Ertz,NA,40.6,NA,NA,NA,NA,NA,40.6,"NA NA",no
Darrell Henderson Jr,NA,10.2,28.3,NA,NA,NA,NA,10.2,"NA NA",no
Will Dissly,NA,23.3,NA,NA,NA,NA,NA,23.3,"NA NA",no
Jamycal Hasty,NA,7.88,11.8,NA,NA,NA,NA,7.88,"NA NA",no
J D McKissic,NA,21.6,11.9,NA,NA,NA,NA,21.6,"NA NA",no
Sony Michel,NA,5.3,10.6,NA,NA,NA,NA,5.3,"NA NA",no
Pierre Strong,NA,3,7.14,NA,NA,NA,NA,3,"NA NA",no
Tom Kennedy,NA,20.1,NA,NA,NA,NA,NA,20.1,"NA NA",no
Jeff Smith,NA,12.2,NA,NA,NA,NA,NA,12.2,"NA NA",no
David Sills V,NA,11.8,NA,NA,NA,NA,NA,11.8,"NA NA",no
Donald Parham,NA,19.8,NA,NA,NA,NA,NA,19.8,"NA NA",no
Armani Rogers,NA,6.4,2.4,NA,NA,NA,NA,6.4,"NA NA",no
Marcus Jones,NA,5.57,NA,NA,NA,NA,NA,5.57,"NA NA",no
Kevin White,NA,10.6,NA,NA,NA,NA,NA,10.6,"NA NA",no
Tevin Coleman,NA,8.8,5.2,NA,NA,NA,NA,8.8,"NA NA",no
Phillip Lindsay,NA,6.33,16.3,NA,NA,NA,NA,6.33,"NA NA",no
Chris Myarick,NA,4.06,NA,NA,NA,NA,NA,4.06,"NA NA",no
C J Moore,NA,NA,5.5,NA,NA,NA,NA,5.5,"NA NA",no
Myles Gaskin,NA,7,6.5,NA,NA,NA,NA,7,"NA NA",no
Tony Jones Jr,NA,5,4,NA,NA,NA,NA,5,"NA NA",no
Spencer Brown,NA,5,21.5,NA,NA,NA,NA,5,"NA NA",no
Ronald Jones II,NA,4.4,5,NA,NA,NA,NA,4.4,"NA NA",no
Anthony McFarland Jr,NA,11,30,NA,NA,NA,NA,11,"NA NA",no
Mike Thomas,NA,3.8,NA,NA,NA,NA,NA,3.8,"NA NA",no
Kendall Blanton,NA,8.75,NA,NA,NA,NA,NA,8.75,"NA NA",no
Larry Rountree,NA,4.33,5,NA,NA,NA,NA,4.33,"NA NA",no
Ben Ellefson,NA,6.5,NA,NA,NA,NA,NA,6.5,"NA NA",no
Daylen Baldwin,NA,25,NA,NA,NA,NA,NA,25,"NA NA",no
Dezmon Patmon,NA,24,NA,NA,NA,NA,NA,24,"NA NA",no
Mike Davis,NA,0.5,2.25,NA,NA,NA,NA,0.5,"NA NA",no
Lil Jordan Humphrey,NA,3.33,NA,NA,NA,NA,NA,3.33,"NA NA",no
Braylon Sanders,NA,5.67,NA,NA,NA,NA,NA,5.67,"NA NA",no
J J Taylor,NA,8,9,NA,NA,NA,NA,8,"NA NA",no
Juwann Winfree,NA,5.67,NA,NA,NA,NA,NA,5.67,"NA NA",no
Dennis Houston,NA,8,NA,NA,NA,NA,NA,8,"NA NA",no
Quintez Cephus,NA,3.75,NA,NA,NA,NA,NA,3.75,"NA NA",no
Bryan Edwards,NA,2.14,NA,NA,NA,NA,NA,2.14,"NA NA",no
Ihmir Smith Marsette,NA,2.14,-0.14,NA,NA,NA,NA,2.14,"NA NA",no
Nsimba Webster,NA,7,NA,NA,NA,NA,NA,7,"NA NA",no
